id_transaksi,sumber_data,kota,teks,tanggal_scraping,status
TW-001,Twitter/X,Surabaya,"Pipa PDAM di jalan MERR bocor lagi, air macet total sudah 3 hari. Laporan diabaikan terus! #Surabaya",2025-09-10,RAW
TW-002,Twitter/X,Surabaya,Anggaran perjalanan dinas Pemkot Surabaya 2025 naik 300%? Kemana transparansinya? #APBD #Korupsi,2025-09-11,RAW
TW-003,Twitter/X,Surabaya,"Jalan Raya Darmo sudah diperbaiki, terima kasih Pemkot! Semoga tahan lama tidak seperti tahun lalu.",2025-09-12,RAW
TW-004,Twitter/X,Surabaya,Demo mahasiswa SPM-MP soal APBD Surabaya 2025 janggal. Ratusan miliar entah kemana.,2025-09-13,RAW
TW-005,Twitter/X,Surabaya,"Pelayanan Dispendukcapil Surabaya makin bagus, antrian online sangat membantu warga.",2025-09-14,RAW
NEWS-001,Berita,Surabaya,KPK mengendus dugaan markup anggaran belanja modal Dinas PU Surabaya senilai Rp 200 miliar.,2025-09-15,RAW
NEWS-002,Berita,Surabaya,Pemkot Surabaya raih penghargaan Smart City terbaik dari Kemendagri untuk kategori tata kelola digital.,2025-09-16,RAW
NEWS-003,Berita,Surabaya,"Warga Kenjeran keluhkan banjir rob yang makin parah, drainase tidak kunjung diperbaiki.",2025-09-17,RAW
NEWS-004,Berita,Surabaya,BPK menemukan 47 temuan ketidaksesuaian dalam laporan keuangan APBD Surabaya 2024.,2025-09-18,RAW
NEWS-005,Berita,Surabaya,"Program beasiswa Pemkot Surabaya disambut antusias warga, 5000 pelajar mendaftar.",2025-09-19,RAW
