id,sumber,teks,tanggal
TW-001,Twitter/X,"Pipa PDAM di jalan MERR bocor lagi, air macet total sudah 3 hari. Laporan diabaikan terus! #Surabaya",2025-09-10
TW-002,Twitter/X,Anggaran perjalanan dinas Pemkot Surabaya 2025 naik 300%? Kemana transparansinya? #APBD #Korupsi,2025-09-11
TW-003,Twitter/X,"Jalan Raya Darmo sudah diperbaiki, terima kasih Pemkot! Semoga tahan lama tidak seperti tahun lalu.",2025-09-12
TW-004,Twitter/X,Demo mahasiswa SPM-MP soal APBD Surabaya 2025 janggal. Ratusan miliar entah kemana.,2025-09-13
TW-005,Twitter/X,"Pelayanan Dispendukcapil Surabaya makin bagus, antrian online sangat membantu warga.",2025-09-14
NEWS-001,Berita,KPK mengendus dugaan markup anggaran belanja modal Dinas PU Surabaya senilai Rp 200 miliar.,2025-09-15
NEWS-002,Berita,Pemkot Surabaya raih penghargaan Smart City terbaik dari Kemendagri untuk kategori tata kelola digital.,2025-09-16
NEWS-003,Berita,"Warga Kenjeran keluhkan banjir rob yang makin parah, drainase tidak kunjung diperbaiki.",2025-09-17
NEWS-004,Berita,BPK menemukan 47 temuan ketidaksesuaian dalam laporan keuangan APBD Surabaya 2024.,2025-09-18
NEWS-005,Berita,"Program beasiswa Pemkot Surabaya disambut antusias warga, 5000 pelajar mendaftar.",2025-09-19
